title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,directorid,actorid,budget,num_directors,num_actors,actor_rev5,actor_rev10,director_films5,actor_films5,actor_films10,director_rev10,director_films10,director_rev5
Barney's Version,2010,R,2011-02-18,134,Comedy,Richard J. Lewis,"Mordecai Richler, Michael Konyves","Paul Giamatti, Rosamund Pike, Jake Hoffman","The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky.","English, French","Italy, Canada",Nominated for 1 Oscar. 18 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMTM4MTUwNDg0OF5BMl5BanBnXkFtZTcwMjUyODYxNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",67.0,7.3,"25,808",tt1423894,movie,14 Jan 2014,4439201,,,True,['nm0003557'],"['nm0316079', 'nm0683253', 'nm0388933']",30000000.0,1,3,221040914,536070520,0,6,11,0,0,0
Seven Days in Utopia,2011,G,2011-09-02,100,Drama,Matthew Dean Russell,"David L. Cook, Rob Levine, Matthew Dean Russell","Lucas Black, Robert Duvall, Melissa Leo","After a disastrous debut on the pro circuit, a young golfer finds himself unexpectedly stranded in Utopia, Texas and welcomed by an eccentric rancher.",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMTUwNjcwMDgzNV5BMl5BanBnXkFtZTcwMjE3MzAxNg@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",37.0,6.1,"3,932",tt1699147,movie,18 Nov 2016,4373074,,,True,['nm1634071'],"['nm0085407', 'nm0000380', 'nm0502425']",7500000.0,1,3,21719012,384776300,0,3,10,0,0,0
The Way,2010,PG-13,2010-11-19,123,Comedy,Emilio Estevez,"Emilio Estevez, Jack Hitt","Martin Sheen, Emilio Estevez, Deborah Kara Unger","A father heads overseas to recover the body of his estranged son who died while traveling the ""El camino de Santiago,"" and decides to take the pilgrimage himself.","English, Spanish, French, Catalan, Italian","Spain, United States",1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BM2ZkMGViZDYtYzhmZi00MDlkLWFhZDktNTAwM2ZhY2ExNTFkXkEyXkFqcGdeQXVyMTQ4NjgzNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",64.0,7.3,"34,399",tt1441912,movie,21 Feb 2013,4998213,,,True,['nm0000389'],"['nm0000640', 'nm0000389', 'nm0000679']",,1,3,0,56386759,1,0,1,11242801,1,11242801
Buck,2011,PG,2012-02-16,88,Documentary,Cindy Meehl,,"Buck Brannaman, Gary Myers, Bibb Frazier","An examination of the life of acclaimed 'horse whisperer' Buck Brannaman, who recovered from years of child abuse to become a well-known expert in the interactions between horses and people.",English,United States,10 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BMTc2NDgxNDkyMl5BMl5BanBnXkFtZTcwODIxOTMxNQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",76.0,7.6,"3,399",tt1753549,movie,21 Feb 2016,4038912,,,True,['nm4137350'],"['nm0105131', 'nm5004873', 'nm5004061']",,1,3,0,0,0,0,0,0,0,0
Of Gods and Men,2010,PG-13,2011-03-25,122,Drama,Xavier Beauvois,"Xavier Beauvois, Etienne Comar","Lambert Wilson, Michael Lonsdale, Olivier Rabourdin","Under threat by fundamentalist terrorists, a group of Trappist monks stationed with an impoverished Algerian community must decide whether to leave or stay.","French, Arabic",France,Nominated for 1 BAFTA Award20 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMTI5OTE1MDU0MV5BMl5BanBnXkFtZTcwNjE3NjkzNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",86.0,7.2,"15,859",tt1588337,movie,09 Mar 2014,3951596,,,True,['nm0064741'],"['nm0933727', 'nm0003909', 'nm0705005']",,1,3,0,0,0,0,0,0,0,0
Tinker Tailor Soldier Spy,2011,R,2012-01-06,127,Drama,Tomas Alfredson,"John le Carré, Bridget O'Connor, Peter Straughan","Gary Oldman, Colin Firth, Tom Hardy","In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6.","English, Russian, Hungarian, French, Turkish","United Kingdom, France, Germany, United States",Nominated for 3 Oscars. 35 wins & 100 nominations total,https://m.media-amazon.com/images/M/MV5BMTU2OTkwNzMyM15BMl5BanBnXkFtZTcwOTI4ODg2Ng@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",85.0,7.0,"208,440",tt1340800,movie,01 Dec 2015,24149393,,,True,['nm0019247'],"['nm0000198', 'nm0000147', 'nm0362766']",20000000.0,1,3,523608356,667140014,0,8,13,0,0,0
Like Crazy,2011,PG-13,2012-01-27,86,Drama,Drake Doremus,"Drake Doremus, Ben York Jones","Felicity Jones, Anton Yelchin, Jennifer Lawrence","A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",English,United States,9 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMjAzOTgyOTU4OF5BMl5BanBnXkFtZTcwNDYxMjcxNg@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",68.0,6.6,"62,694",tt1758692,movie,06 Jun 2014,3395391,,,True,['nm2035886'],"['nm0428065', 'nm0947338', 'nm2225369']",250000.0,1,3,300516583,315826185,0,5,6,0,0,0
Sea Rex 3D: Journey to a Prehistoric World,2010,Not Rated,2011-02-02,41,Documentary,"Ronan Chapalain, Pascal Vuong","Ronan Chapalain, Richard Dowlearn, Pascal Vuong","Guillaume Denaiffe, Norbert Ferrer, Chloe Hollings",The T-Rex of the Seas come alive.,English,"United Kingdom, France",2 wins,https://m.media-amazon.com/images/M/MV5BMTI3OTI0MDMzOV5BMl5BanBnXkFtZTcwNzk4NjkyMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",,6.6,441,tt1529567,movie,,6096582,,,True,"['nm3654605', 'nm0904449']","['nm2075208', 'nm2397617', 'nm3780357']",5000000.0,2,3,0,0,0,0,0,0,0,0
Zindagi Na Milegi Dobara,2011,Not Rated,2011-07-15,155,Comedy,Zoya Akhtar,"Farhan Akhtar, Reema Kagti, Zoya Akhtar","Hrithik Roshan, Farhan Akhtar, Abhay Deol",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,"Hindi, English, Spanish","India, Spain",35 wins & 36 nominations,https://m.media-amazon.com/images/M/MV5BZGFmMjM5OWMtZTRiNC00ODhlLThlYTItYTcyZDMyYmMyYjFjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",,8.2,"82,501",tt1562872,movie,30 Nov 2016,3108485,,,True,['nm0015295'],"['nm0004335', 'nm1027719', 'nm1867717']",,1,3,0,0,0,0,0,0,0,0
From Prada to Nada,2011,PG-13,2011-01-28,107,Action,Angel Gracia,"Fina Torres, Luis Alfaro, Craig Fernandez","Camilla Belle, Alexa PenaVega, Kuno Becker","A Latina spin on Jane Austen's ""Sense and Sensibility"": two spoiled sisters who have been left penniless after their father's sudden death are forced to move in with their estranged aunt in East Los Angeles.","English, Spanish","Mexico, United States",2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTY2NDAxNjgwMF5BMl5BanBnXkFtZTcwNDc3NzQxNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",39.0,5.5,"15,455",tt0893412,movie,03 May 2011,3033623,,,True,['nm0333471'],"['nm0004741', 'nm0891786', 'nm0065493']",,1,3,174455942,381500743,0,3,6,0,0,0
The Skin I Live In,2011,R,2011-09-02,120,Drama,Pedro Almodóvar,"Pedro Almodóvar, Agustín Almodóvar, Thierry Jonquet","Antonio Banderas, Elena Anaya, Jan Cornet","A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Spanish,"Spain, United States",Won 1 BAFTA Award28 wins & 69 nominations total,https://m.media-amazon.com/images/M/MV5BMjMwOTYyNDY4NV5BMl5BanBnXkFtZTcwNDI1ODk0Ng@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",70.0,7.6,"160,612",tt1189073,movie,10 Jun 2014,3185812,,,True,['nm0000264'],"['nm0000104', 'nm0025745', 'nm1693432']",,1,3,0,356112495,2,0,7,32556367,4,17914172
Martha Marcy May Marlene,2011,R,2011-12-21,102,Drama,Sean Durkin,Sean Durkin,"Elizabeth Olsen, Sarah Paulson, John Hawkes","Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",English,United States,22 wins & 74 nominations,https://m.media-amazon.com/images/M/MV5BMTc1MTYwMzg1N15BMl5BanBnXkFtZTcwNzM0MDY4Ng@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",75.0,6.8,"54,822",tt1441326,movie,01 Aug 2013,2990625,,,True,['nm1699934'],"['nm0647634', 'nm0005299', 'nm0370035']",,1,3,6531503,10416637,0,1,2,0,0,0
Another Year,2010,PG-13,2011-02-04,129,Comedy,Mike Leigh,Mike Leigh,"Jim Broadbent, Ruth Sheen, Lesley Manville",A look at four seasons in the lives of a happily married couple and their relationships with their family and friends.,English,"United Kingdom, United States",Nominated for 1 Oscar. 23 wins & 57 nominations total,https://m.media-amazon.com/images/M/MV5BY2I0YTFmNzQtZjM1NC00MmI0LTk5ZTAtMjA2MmM5YTZhOTZiXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",81.0,7.4,"30,373",tt1431181,movie,07 Jul 2011,3205706,,,True,['nm0005139'],"['nm0000980', 'nm0790689', 'nm0544334']",8000000.0,1,3,0,29602754,0,0,2,0,0,0
Don 2,2011,Not Rated,2011-12-23,148,Action,Farhan Akhtar,"Farhan Akhtar, Javed Akhtar, Salim Khan","Shah Rukh Khan, Florian Lukas, Om Puri","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.","Hindi, English, German","India, Germany",8 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BMzNiYWYxNWYtZDYzMC00MzA0LTkzY2UtNDAwNDhiYmVjNmEwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",49.0,7.1,"55,849",tt1285241,movie,06 Jan 2018,3680306,,,True,['nm1027719'],"['nm0451321', 'nm0525518', 'nm0700875']",16700000.0,1,3,6530460,9468992,0,2,3,0,0,0
Everything Must Go,2010,R,2011-10-14,97,Drama,Dan Rush,"Dan Rush, Raymond Carver","Will Ferrell, Rebecca Hall, Christopher Jordan Wallace","When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjEwMjI0NjU2NF5BMl5BanBnXkFtZTcwMDk5Mjc4NA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",65.0,6.4,"52,428",tt1531663,movie,06 Aug 2013,2711643,,,True,['nm3656297'],"['nm0002071', 'nm0356017', 'nm3246926']",5000000.0,1,3,729714737,1395197653,0,10,18,0,0,0
The Way Back,2010,PG-13,2011-01-21,133,Adventure,Peter Weir,"Peter Weir, Keith R. Clarke, Slavomir Rawicz","Jim Sturgess, Ed Harris, Colin Farrell",Siberian gulag escapees travel four thousand miles by foot to freedom in India.,"English, Russian, Polish, Tibetan, Mongolian","United States, United Arab Emirates, Poland, India",Nominated for 1 Oscar. 4 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5MTc5MTM3Ml5BMl5BanBnXkFtZTcwMDI2NzgwNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",66.0,7.3,"120,056",tt1023114,movie,17 Oct 2011,2701859,,,True,['nm0001837'],"['nm0836343', 'nm0000438', 'nm0268199']",30000000.0,1,3,328397646,1105366637,0,9,21,93927920,1,0
Bucky Larson: Born to Be a Star,2011,R,2011-09-09,97,Comedy,Tom Brady,"Adam Sandler, Allen Covert, Nick Swardson","Nick Swardson, Don Johnson, Christina Ricci","A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps, and become a porn star.",English,United States,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BMjIzMjY4MTk2M15BMl5BanBnXkFtZTcwNzQ3ODg3NQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '3.3/10'}",9.0,3.3,"12,577",tt1411664,movie,15 Mar 2012,2529395,,,True,['nm0103744'],"['nm0841910', 'nm0000467', 'nm0000207']",10000000.0,1,3,125515823,182494865,1,5,8,48431521,2,13349927
Ra.One,2011,Not Rated,2011-10-26,156,Action,Anubhav Sinha,"David Benullo, Kanika Dhillon, Niranjan Iyengar","Shah Rukh Khan, Arjun Rampal, Kareena Kapoor","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.","Tamil, Hindi","India, United States",19 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BODI3NzRmNWItM2ExNS00YzU5LWIxZWEtMzI1ZGM1MzRmMmJhXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.7/10'}",60.0,4.7,"45,067",tt1562871,movie,30 Nov 2016,2511689,,,True,['nm1025280'],"['nm0451321', 'nm0992000', 'nm0004626']",24000000.0,1,3,4018771,6957303,0,1,2,0,0,0
Melancholia,2011,R,2011-05-26,135,Drama,Lars von Trier,Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland",Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,English,"Denmark, Sweden, France, Germany",35 wins & 95 nominations,https://m.media-amazon.com/images/M/MV5BMTk4NjM0MjI3MV5BMl5BanBnXkFtZTcwNjcxMDYzNg@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",81.0,7.1,"190,430",tt1527186,movie,13 Jan 2015,3030848,,,True,['nm0001885'],"['nm0000379', 'nm0001250', 'nm0000662']",7400000.0,1,3,383184213,1446002527,0,3,13,0,0,0
The Grace Card,2010,PG-13,2011-02-25,101,Drama,David G. Evans,Howard Klausner,"Michael Joiner, Michael Higgenbottom, Louis Gossett Jr.","Everything can change in an instant, and take a lifetime to unravel. Every day, we have the opportunity to rebuild relationships by extending and receiving God's grace. Offer The Grace Card, and never underestimate the power of Go...",English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNTI4NjgzMjE0OF5BMl5BanBnXkFtZTcwNzMwMjIzNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",43.0,6.2,"3,242",tt1544600,movie,16 Aug 2011,2430735,,,True,['nm3686896'],"['nm1456571', 'nm3196780', 'nm0001283']",200000.0,1,3,0,0,0,0,0,0,0,0
The Illusionist,2010,PG,2011-02-11,80,Animation,Sylvain Chomet,"Sylvain Chomet, Jacques Tati","Jean-Claude Donda, Eilidh Rankin, Duncan MacNeil","A French illusionist finds himself out of work and travels to Scotland, where he meets a young woman. Their ensuing adventure changes both their lives forever.","English, French, Gaelic","France, United Kingdom",Nominated for 1 Oscar. 7 wins & 35 nominations total,https://m.media-amazon.com/images/M/MV5BMTg0MjI4MTcxMF5BMl5BanBnXkFtZTcwNTQ1ODUwNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",82.0,7.5,"36,063",tt0775489,movie,14 Jan 2014,2231474,,,True,['nm0158984'],"['nm0232357', 'nm3946526', 'nm4048274']",17000000.0,1,3,0,7007149,0,0,1,7007149,1,0
Incendies,2010,R,2011-01-12,131,Drama,Denis Villeneuve,"Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne","Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"French, Arabic, English","Canada, France",Nominated for 1 Oscar. 41 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMTg4MzA0NjI5OF5BMl5BanBnXkFtZTcwNTUwMzQzNg@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.3/10'}",80.0,8.3,"187,744",tt1255953,movie,10 Jun 2014,2071334,,,True,['nm0898288'],"['nm0044073', 'nm0246386', 'nm0309945']",6800000.0,1,3,0,0,0,0,0,0,0,0
The Trip,2010,Not Rated,2011-04-24,112,Comedy,Michael Winterbottom,,"Steve Coogan, Rob Brydon, Rebecca Johnson","Steve Coogan has been asked by The Observer to tour the country's finest restaurants, but after his girlfriend backs out on him he must take his best friend and source of eternal aggravation, Rob Brydon.",English,United Kingdom,2 nominations,https://m.media-amazon.com/images/M/MV5BNDEzMTM1OTM4M15BMl5BanBnXkFtZTcwMTE3MDcxNQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",,7.0,"23,173",tt1740047,movie,12 Nov 2015,2030962,,,True,['nm0935863'],"['nm0176869', 'nm0117339', 'nm0426038']",,1,3,93654519,117662656,1,2,3,9176787,1,9176787
The Avengers,2012,PG-13,2012-05-04,143,Action,Joss Whedon,"Joss Whedon, Zak Penn","Robert Downey Jr., Chris Evans, Scarlett Johansson",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"English, Russian",United States,Nominated for 1 Oscar. 38 wins & 80 nominations total,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",69.0,8.0,"1,431,226",tt0848228,movie,22 Jun 2014,623357910,,,True,['nm0923736'],"['nm0000375', 'nm0262635', 'nm0424060']",220000000.0,1,3,1799862677,2411207730,0,17,34,25514517,1,0
The Dark Knight Rises,2012,PG-13,2012-07-20,164,Action,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","Christian Bale, Tom Hardy, Anne Hathaway","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","English, Arabic","United States, United Kingdom",Nominated for 1 BAFTA Award42 wins & 103 nominations total,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.4/10'}",78.0,8.4,"1,770,340",tt1345836,movie,07 Jan 2014,448149584,,,True,['nm0634240'],"['nm0000288', 'nm0362766', 'nm0004266']",250000000.0,1,3,1523557430,2081390095,2,17,24,1087527776,4,827574406
The Hunger Games,2012,PG-13,2012-03-23,142,Action,Gary Ross,"Gary Ross, Suzanne Collins, Billy Ray","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,English,United States,Won 1 BAFTA Award33 wins & 48 nominations total,https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",68.0,7.2,"960,056",tt1392170,movie,09 Sep 2016,408010692,,,True,['nm0002657'],"['nm2225369', 'nm1242688', 'nm2955013']",78000000.0,1,3,438810084,603184119,0,7,10,120277854,1,0
Skyfall,2012,PG-13,2012-11-09,143,Action,Sam Mendes,"Neal Purvis, Robert Wade, John Logan","Daniel Craig, Javier Bardem, Naomie Harris","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","English, Turkish, Shanghainese, Portuguese, Japanese","United Kingdom, United States, Turkey",Won 2 Oscars. 68 wins & 123 nominations total,https://m.media-amazon.com/images/M/MV5BMWZiNjE2OWItMTkwNy00ZWQzLWI0NTgtMWE0NjNiYTljN2Q1XkEyXkFqcGdeQXVyNzAwMjYxMzA@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",81.0,7.8,"715,096",tt1074638,movie,04 Feb 2017,304360277,,,True,['nm0005222'],"['nm0185819', 'nm0000849', 'nm0365140']",200000000.0,1,3,790069947,1071362460,2,12,17,95021646,3,32363426
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,2012-11-16,115,Adventure,Bill Condon,"Stephenie Meyer, Melissa Rosenberg","Kristen Stewart, Robert Pattinson, Taylor Lautner","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",English,United States,Nominated for 1 BAFTA Award21 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",52.0,5.5,"257,087",tt1673434,movie,03 Mar 2015,292324737,,,True,['nm0174374'],"['nm0829576', 'nm1500155', 'nm1210124']",120000000.0,1,3,3307645548,3370777138,1,17,20,394908068,3,281287133
The Amazing Spider-Man,2012,PG-13,2012-07-03,136,Action,Marc Webb,"James Vanderbilt, Alvin Sargent, Steve Kloves","Andrew Garfield, Emma Stone, Rhys Ifans","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",English,United States,2 wins & 31 nominations,https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",66.0,6.9,"682,871",tt0948470,movie,01 Sep 2014,262030663,,,True,['nm1989536'],"['nm1940449', 'nm1297015', 'nm0406975']",230000000.0,1,3,511047915,538718901,1,8,9,32391374,1,32391374
Brave,2012,PG,2012-06-19,93,Animation,"Mark Andrews, Brenda Chapman, Steve Purcell","Brenda Chapman, Mark Andrews, Steve Purcell","Kelly Macdonald, Billy Connolly, Emma Thompson","Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",English,"United States, Japan",Won 1 Oscar. 20 wins & 48 nominations total,https://m.media-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",69.0,7.1,"428,869",tt1217209,movie,01 Jun 2014,237283207,,,True,"['nm0028764', 'nm0152312', 'nm0700760']","['nm0531808', 'nm0175262', 'nm0000668']",185000000.0,3,3,75155923,360173721,0,4,10,0,0,0
The Hobbit: An Unexpected Journey,2012,PG-13,2012-12-14,169,Adventure,Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Martin Freeman, Ian McKellen, Richard Armitage","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",English,"New Zealand, United States",Nominated for 3 Oscars. 11 wins & 75 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",58.0,7.8,"851,869",tt0903624,movie,11 Dec 2015,303030651,,,True,['nm0001392'],"['nm0293509', 'nm0005212', 'nm0035514']",180000000.0,1,3,0,861768156,1,0,5,984574060,4,44114232
Ted,2012,R,2012-06-29,106,Comedy,Seth MacFarlane,"Seth MacFarlane, Alec Sulkin, Wellesley Wild","Mark Wahlberg, Mila Kunis, Seth MacFarlane","John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.","English, Japanese, Ukrainian",United States,Nominated for 1 Oscar. 13 wins & 28 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ1OTU0ODcxMV5BMl5BanBnXkFtZTcwOTMxNTUwOA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",62.0,6.9,"638,136",tt1637725,movie,21 Jul 2015,218815487,,,True,['nm0532235'],"['nm0000242', 'nm0005109', 'nm0532235']",50000000.0,1,3,854231953,1145015840,0,12,17,0,0,0
Madagascar 3: Europe's Most Wanted,2012,PG,2012-06-08,93,Animation,"Eric Darnell, Tom McGrath, Conrad Vernon","Eric Darnell, Noah Baumbach, Mark Burton","Ben Stiller, Jada Pinkett Smith, Chris Rock","The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer.","English, Spanish","United States, India",3 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BZjEzYTZjMmYtZGRjMy00ZGNjLThkMzAtY2Y4Y2E5YWYxNWU2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",60.0,6.8,"191,632",tt1277953,movie,25 Nov 2015,216391482,,,True,"['nm0201509', 'nm0569891', 'nm0970447']","['nm0001774', 'nm0000586', 'nm0001674']",145000000.0,3,3,962184101,2529256148,4,10,25,1535206568,7,706789279
The Lorax,2012,PG,2012-03-02,86,Animation,"Chris Renaud, Kyle Balda","Dr. Seuss, Cinco Paul, Ken Daurio","Zac Efron, Taylor Swift, Danny DeVito","A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",English,"United States, France",4 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMTU1MTAwMjk1NF5BMl5BanBnXkFtZTcwMDI5NDc4Ng@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",46.0,6.4,"124,456",tt1482459,movie,09 Nov 2018,214373500,,,True,"['nm0719208', 'nm0049633']","['nm1374980', 'nm2357847', 'nm0000362']",70000000.0,2,3,185889030,220982599,1,3,4,251557985,1,251557985
Men in Black 3,2012,PG-13,2012-05-25,106,Action,Barry Sonnenfeld,"Etan Cohen, Lowell Cunningham","Will Smith, Tommy Lee Jones, Josh Brolin",Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,"English, Ukrainian","United States, United Arab Emirates",1 win & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",58.0,6.8,"377,741",tt1409024,movie,07 Sep 2014,179020854,,,True,['nm0001756'],"['nm0000226', 'nm0000169', 'nm0000982']",225000000.0,1,3,785248526,2046035158,0,11,22,265461313,2,0
